year,acres harvested,yield per acre(1000 lbs),production,$ per lb avg,total value ($1000)
2010  ...................,"31,289","2,093","65,492.6",3.28,"214,589"
2011  ...................,"29,787","2,175","64,781.6",3.14,"203,378"
2012  ...................,"31,933","1,918","61,249.2",3.27,"200,011"
