year,acres harvested,yield per acre(1000 lbs),production,$ per lb avg,total value ($1000)
2009  ...................,"39,726","2,383","94,677.9",3.57,"337,874"
2010  ...................,"31,289","2,093","65,492.6",3.28,"214,589"
2011  ...................,"29,787","2,175","64,781.6",2.77,"179,429"
