year,acres harvested,yield per acre(1000 lbs),production,$ per lb avg,total value ($1000)
2015  ...................,"43,633","1,807","78,846.0",4.38,"345,388"
2016  ...................,"50,857","1,713","87,139.6",5.72,"498,420"
2017  ...................,"53,282","1,959","104,366.0",5.92,"617,836"
