year,acres harvested,yield per acre(1000 lbs),production,$ per lb avg,total value ($1000)
2016  ...................,"50,857","1,713","87,139.6",5.72,"498,420"
2017  ...................,"53,989","1,956","105,621.5",5.6,"591,375"
2018  ...................,"55,035","1,943","106,906.7",5.46,"583,444"
